name,uniqueupdatescount
st2w3044,3
st3w10061,1
st2w3108,1
st3w10063,1
st2w3563,2
st1w3436,1
st2w3349,1
st4w10154,1
st3w10150,2
st2w3107,4
st2w3105,1
st1w10138,2
st2w3359,3
st1w1509,1
st2w10083,1
st1w10121,2
st3w10070,1
st1w0826,1
st3w10052,2
st2w3562,3
st2w3587,3
st2w3584,2
st2w3361,2
st4w3307m-test,1
st4w10049,1
st3w10069,1
st3w10066,1
st3w3350,2
st1w10089,2
st1w10090,2
st2w3010,1
st1w10145,2
st2w3566,1
st1w10078,2
st1w10023,1
st4w3349,3
st1w10077,2
st1w10081,2
st2w3054,1
st3w10073,1
st2w10051,2
st3w10126,2
st1w10079,2
st1w10056,2
st2w3574,2
st3w3152,7
st1w10137,2
st4w3158,5
st3w10075,1
st1w3581,1
st4w10057,1
st4w10008,2
st1w2734,1
st2w3564,3
st1w10092,1
st3w10026,2
st2w10056,2
st4w3054,1
st4w10056,2
st4w3350,4
st1w3054,1
st3w10058,1
st1w10076,2
st3w10062,1
st1w3434,1
st2w3573,2
st1w10093,2
st2w3043,1
st1w10091,2
st1w10054,2
st4w30003,2
st1w2733,2
st2w3560,2
st4w3338,1
st1w2744,2
st2w10086,2
st1w10006,2
st2w3583,2
st2w10005,2
st4w10043,1
st2w3575,2
st1w10139,2
st4w3308,1
st4w10124,2
st3w10065,1
st2w3572,3
st2w3585,3
st3w10067,1
st3w10068,1
st3w10071,1
st3w10072,1
st2w3362,2
st1w10057,2
st3w20053,1
st4w10125,2
st2w3357,3
st4w10111,1
st2w3360,2
st4w3334,1
st2w3561,2
st3w10059,1
st4w30001,2
st1w10060,1
st4w3092,1
