"resourcename","resourcetype","resourcegroup","subscriptionname","recommendationdisplayname","state","severity"
"st4w10049","virtualmachines","st-sapss-dev-neu-rg","production","your machines should be restarted to apply system updates","unhealthy","medium"
"st2w3044","virtualmachines","st-agentcardpayment-preprod-neu-rg","non-production","your machines should be restarted to apply system updates","unhealthy","medium"
"st2w3538","virtualmachines","st-kofaxcapture-preprod-neu-rg","non-production","your machines should be restarted to apply system updates","unhealthy","medium"
"asr-test-002","virtualmachines","asr-replication-asr","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1w3330-test","virtualmachines","st-azuremigrate-prod-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1w3332-test","virtualmachines","st-azuremigrate-prod-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w3153","virtualmachines","st-cmpautotest-ss-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1w1604","virtualmachines","st-cmpdevworkstation-ss-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1w1509","virtualmachines","st-insitecaci-prod-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1l10032","virtualmachines","st-logrhythm-ss-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1l0029","virtualmachines","st-netscaler-ss-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1w10031","virtualmachines","st-vulman-prod-neu-rg","production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w3092-test11","virtualmachines","st-azuremigrate-prod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"chatbot-temp-vm","virtualmachines","st-chatbots-dev-uks-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"citrixond365","virtualmachines","st-ctximage-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19002","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19003","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19004","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19009","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19010","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19013","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19014","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19015","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19016","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19017","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19018","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19019","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19020","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19021","virtualmachines","st-ctxmachine-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19005","virtualmachines","st-ctxond2012-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19006","virtualmachines","st-ctxond2012-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19007","virtualmachines","st-ctxond2012-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2w19012","virtualmachines","st-ctxserver2019-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2l10022","virtualmachines","st-netbase-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4l10129","virtualmachines","st-sap-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w10097","virtualmachines","st-sap-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st2l10131","virtualmachines","st-sap-preprod-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"saphanapoc","virtualmachines","st-sappoc-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w10037","virtualmachines","st-sapprj-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w10046","virtualmachines","st-sapprj-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st3w10060","virtualmachines","st-sapprj-test-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w40001restor","virtualmachines","st-sqlsvrpoc-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4w40002restor","virtualmachines","st-sqlsvrpoc-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st4l10062","virtualmachines","st-vmautopoc-dev-neu-rg","non-production","monitoring agent health issues should be resolved on your machines","unhealthy","medium"
"st1l10085","virtualmachines","st-netbase-prod-weu-rg","production","network traffic data collection agent should be installed on linux virtual machines (preview)","unhealthy","medium"
"st3l10140","virtualmachines","st-devops-test-neu-rg","non-production","network traffic data collection agent should be installed on linux virtual machines (preview)","unhealthy","medium"
